CDS,CDS original script,PoS,ADS,English,Country,Language branch,Group of languages,Language,Area,Source,Year,Comments,Examples,Semantic Domain
ssss,,interj,,"shut up, be quiet (interj.)",Algeria,Semitic,Arabic,Arabic (Algerian),Chaouia,,2024,"interj., not only BT",,command
"ssss, ššš",,interj,,"shut up, be quiet (interj.)",Algeria,Semitic,Arabic,Arabic (Algerian),,,2024,"interj., not only BT",,command
"ssss, ššš",,interj,,"shut up, be quiet (interj.)",Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,"interj., not only BT",,command
"ssss, ššš",,interj,,"shut up, be quiet (interj.)",Algeria,Amazigh (Berber),,Tashawit,,,2024,"interj., not only BT",,command
"šššš, ssssss, ššššt, sssst",,"interj, v",,"shut up, be quiet",Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,"Interj, also ADS",,"action, interjection"
"šššš, ssssss, ššššt, sssst",,"interj, v",,"shut up, be quiet",Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,Interj. (CDS=ADS). Widespread (also in southern Morocco etc.),,"action, interjection"
"šššš, ssssss, ššššt, sssst",,"interj, v","skuṯ (M/F), sset, PL sst-aṯ!","shut up, be quiet",Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2015,,,"action, interjection"
"šššš, ssssss, ššššt, sssst",,interj,,"shut up, be quiet",Morocco,Amazigh (Berber),Senhaja,Mezduy,,,2025,,,"action, interjection"
"ššššš, ssss, šššššt, sssssst",,"interj, v",skut!/ sekti (F),"shut up, be quiet!",Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Fes",,2014,not only BT (also used as AT),,"action, interjection"
"ššššt, sssst, šššš, ssssss",,interj,,"shut up, be quiet (interj.)",Morocco,Semitic,Arabic,Arabic (Algerian),Tetouane/Ceuta,,2024,"interj., not only BT",,command
"ššššt, sssst, šššš, ssssss",,interj,"sqa(r)! (usual) sseġḓ (strong/Ayt Waryaghel), šššt (interj.)","shut up, be quiet (interj.)",Morocco,Amazigh (Berber),,Tarifiyt,"Midar (Ayt Tuzin), Iqeraiyen",,2014-15,"interj., not only BT",,command
ššštt,,"v, interj",,silence! Shut up!,Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"action, interjection"
štašta,,n,aġyul,donkey,Algeria,Amazigh (Berber),,Kabyle,At Aysi,,2000,not used in Béjaïa (Sidi Aïch) – Aṯ Uġlis according to Brihmat (2015).,,animals
štašta,,n,aġyul,donkey,Algeria,Amazigh (Berber),,Kabyle,At Aysi,,2000,,,animals
"stasta, setta",,n,l-flus,money,Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,Also in Berber.,,"object, world"
šṭeḥa,,"interj, v",keffef,"bravo, clap",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,dim. of ššetḥa,,"action, game, positive"
šṭēḥa,,"n, v",šṭaḥ,dance,Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,From adult speech,,"bodily function, action, game"
sticky-icky,,adj,sticky,sticky,"USA, UK",Germanic,,English,UK,,2024,reduplication/rhyming pair,,
"šṭiḥa, šṭiḥ",,"v, n",,"dance, clap",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,From adult speech,,"body, action"
štiti,,n,ažḓiḓ,"bird(s), DIM",Morocco,Amazigh (Berber),,Tarifiyt,Iqeraiyen,,2015,,,"animals, birds"
stouterik,,n,ondeugend,naughty person,Netherlands,Germanic,,Dutch,,,2024,"Stout means naughty, the suffix -erik sounds like a dimunitive. So stouterik means more or less little naughty one.","Ben jij het weer geweest die drop heeft gepakt, stouterik.",conversation
"stukk, štukk",,interj,"sqa(r)! (usual) sseġḓ (strong/Ayt Waryaghel), šššt (interj.)","shut up, be quiet (interj.)",Morocco,Amazigh (Berber),,Tarifiyt,Ayt Waryaghel,,2014-15,"interj., not only BT",,"action, interjection"
sunn(-sunn),,"n, v",,kiss (n/v),Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,Berber only,,"action, kiss"
sus(s)u,,n,twəllíkt 'louse',"insect(s), beatle, flea/louse, etc.",Libya,Amazigh (Berber),,Awjila,Awjila,,2013,,,"animals, insects"
šuš(š)u,,n,agəṭíṭ 'bird',(little) bird(s),Libya,Amazigh (Berber),,Awjila,Awjila,,2013,"Cf. Kabyle BT čičču “chicken”. Thus, Awjila [š] corresponds here to Kabyle [č]. Etymology: onomatopoeia? In Ouadhias, ččewčew means ‘to cheep, chirp’.",,"animals, birds"
šuššu,,n,aksum,meat,Algeria,Amazigh (Berber),,Kabyle,At Yiraten,,1998,,,food
šuššu,,n,aksum,meat,Algeria,Amazigh (Berber),,Kabyle,Aṯ Yiraṯen,,1998,,,food
sussus,,n,taɛam = seksu,couscous,Morocco,Amazigh (Berber),,Tashelhit,Tarudant,,2015,,,food
susu,سوسو,n,,hand,Libya,Amazigh (Berber),,Nafusa,Yafran,,2015,,,
šušu,,n,ayaziṭ,"hen, chicken, rooster, cock",Algeria,Amazigh (Berber),,Kabyle,Béjaïa (Bgayet),,1998,,,"animals, birds"
šušu,,n,ayaziṭ,"hen, chicken, rooster, cock",Algeria,Amazigh (Berber),,Kabyle,Béjaïa,,1998,,,"animals, birds"
šušu,,n,,"hen, chicken (rooster)",Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
"susu, titus",,n,,"hand, arm",Libya,Amazigh (Berber),,Zwara,,,2014,,,
ta-kʷršs-at,,n,,"chicken, hen, poultry",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,,2024,"kʷršš (animal-directed speech), used to scare chicken/make them go away. Also ta-kʷršs-at ‘hen’, ‘chick’ (PL not used: ti-kʷršš-at-in?)",,"animals, birds"
taaaa',,interj,,peekaboo,Morocco,,,Arabic (Moroccan),Tangier,,,,,
ṯabeḥḥat,,"n, v",,kiss,Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,Also beḥḥa,,"action, body"
ṯabeḥḥat,,"n, v",taqemmunt,kiss,Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,"Derived from the BT term beḥḥa by means of a F circumfix t-…-t. Used with older children (""children-talk"")",,"action, body"
tabibbišt,,n,"abibbiš, PL ibibbišen",genitals (male),Morocco,Amazigh (Berber),,Tamazight,"Rich, Gourrama, Ksar tit n'Ali",,2015,Formed as F/DIM from adult speech,,"body, taboo"
tača,,n,ṯamdžač,egg,Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,From adult speech,,food
ṭaɛṭaɛ,,n,abdir,"pigeon, dove",Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,"animals, birds"
ṭaɛṭaɛ,,n,abdir,"pigeon, dove",Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,"animals, birds"
taɛtta,,"n, interj",,piggyback (carry),Morocco,Amazigh (Berber),,Tamazight,Goulmima Region,,2024,,,
"taɛtta, daɛtta",,n,,piggyback ride,Morocco,Amazigh (Berber),,Tamazight,At Atta,,2024,,,
"taḥ, taḥa, taṭaḥ",,"n, v",,"to hit, hitting",Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,"""Dadda"" is also used in the meaning 'hit, beat'. ex; ""skut wlla ndirlk dadda""/""shut up or I will hit you""",,"body, action"
"taḥ, taḥa, taṭaḥ",,"v, n",,"to hit, hitting",Morocco,Amazigh (Berber),Senhaja,Mezduy,,,2025,,,"body, action"
"taḥ, taḥḥ, taḥḥa",,"n, v","wweṯ! ‘hit’, wṯ=iṯ ‘hit him!', sql=iṯ ‘slap him’, terš=iṯ ‘slap him!’; seffaq! ‘clap!’","hit, hitting",Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,"2015, 2025","Conjugated, ex. /š a k-taḥḥ-a/ ‘I will hit you:MS’, /š a m-taḥḥ-a/ ‘I will hit you:FS’, /taḥh-ax-t/ ‘I hit her’, /i-taḥḥ-iṯ ‘he hit him’.",ww=as taḥḥa ‘do him/her hitting’ (n) = taḥ! taḥḥ=iṯ! ‘hit him’; taḥḥ=it 'hit her'! Variant taḥtaḥ exists (but is rare); xassek taḥḥa 'you need beating' ('I am going to beat you'),"body, action"
"ṯaḥebbuṭ, aḥebbuḓ",,n,ṯaɛeddist,belly,Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,Cf. ɛeddis ,,"body, body part"
taḥemmušt,,n,ḥemmuš/imi,mouth,Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,BT=diminutive,,body parts
"taḥtaḥ, tattaḥ",,"n, v","ġa=n-waɛt-ek ‘I am going to hit you’, n-derb-ek!~
 n-serfq-ek ! ‘I’ll slap you’
 n-berbq-ek (Marrakesh);","hit, slap, beat(ing), punishment",Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca, Rabat, Fes",,2014,tattaḥ (Rabat),(ġa=)ndir-l-ek ṭaḥṭaḥ/ diddi 'I am going to punish/hurt you'. xassek tattaḥ = xassek lɛasa 'you need to be punished'.,"body, warning, negative, action"
"taḥtaḥ, ttaḥ, tataḥ",,"n, adj, v",aḥḥ 'oh' (exclamation),"hit, beat(ing), stop, leave, dirty, it will hurt you, it is bad; BT as warning for smth dangerous, sharp, hot e.g. fire, etc. Everything that can hurt/is painful",Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,"igga diddi 'he hurt himself' (e.g. he fell, etc.); cf. igg=as diddi 'he hurt smb' (lit. 'he did him/her diddi/pain')",,"body, negative, warning"
"taḥu, taḥtaḥ",,"v, n",,"beat, hit",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"action, warning"
tai tai,,interj,Larevedere,Bye,Romania,Romance,,Romanian,,,2024,,,
talallayt,,n,,egg,Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Elouatiq p.c.,2024,,,
tamaḥḥat,,n,taqemmunt,kiss,Morocco,Amazigh (Berber),,Tarifiyt,Iqeraiyen,,2015,"Derived from the BT term maḥḥa by means of a F circumfix t-…-t. Used with older children (""children-talk"").",,"body, bodily function, action"
tamezzuġet,,n,amezzuġ,ear,Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,BT=diminutive,,body parts
tamummuts,,n,,doll,Algeria,Amazigh (Berber),,Kabyle,Béjaïa (Bgayet),,1998,from mummu 'baby',,"object, world, toy, game"
tamummuts,,n,,doll,Algeria,Amazigh (Berber),,Kabyle,Béjaïa,,1998,from mummu 'baby',,"object, world, toy, game"
tari tari,,n,,"wind instrument, trumpet",Spain,Romance,,Spanish,"Spain, Navarra",,2024,,,
ṯašiḇut,,n,ṯaɛeddist,belly,Morocco,Amazigh (Berber),,Tarifiyt,Ayt Said,,2014,,,"body, body part"
ṯašiḇut,,n,ṯaɛeddist,belly,Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,,,"body, body part"
tastas,,interj,,"where are you, hide-and-seek",Spain,Romance,,Spanish,"Spain, Navarra",,2024,,"Donde estas? (said by the person who is hiding/looking for a baby), when found: quistas /kistas/ (<aqui estas), or cucu, or you don't say anything. You can use cucu - tastas to refer to the game (hide and seek), ADS escondite",
tata,,n,ṯamdžač,egg,Morocco,Amazigh (Berber),,Tarifiyt,Iqeraiyen,,2015,Not sure? Maybe tata. There is a game for children: ṯuru tata (with an egg),,food
tata,,n,,elder sister,Spain,Romance,,Spanish,"Spain, Navarra",,2024,,Rather grandmother in Ecuador,
tata,,n,,aunt (paternal+maternal?),Algeria,Semitic,Arabic,Arabic (Algerian),Chaouia,,2024,,,kinship
tata,,n,,breast + male genitals (penis) + female genitals,Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
tata,տատա,n,,grandma,Armenia,Armenian,,Armenian,,,2024,,,
tata,,n,"padre, abuelo","father, grandfather",Spain,Romance,,Spanish,,Ferguson 1964,1964,,,
tata,,n,"padre, abuelo","father, grandfather",Spain,Romance,,Spanish,,Ferguson 1964,1964,,,
tata,,n,abuela,grandmother,Spain,Romance,,Spanish,,,2024,,,
tāta,,"v, n",,"walk, shoe(s)",Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,Woidich 2006,2006,"German: gehen, Schuh.",,"body, clothes, action"
tāta,,"v, n",,"walk, shoe(s)",Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,Woidich 2006,2006,"German: gehen, Schuh.",,"body, clothes, action"
ṭaṭa,,n,,egg,Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,ṭaṭa ,,food
ṭaṭa,,n,,aunt (maternal),Algeria,Semitic,,Arabic (Algerian),"Ayt Nacer (Batna province, village Tagoust El Hamra)",,2024,,,kinship
ṭaṭa,,n,,egg,Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,food
"tata, tati",,n,"xalti, ɛammti, mrat xali, mrat ɛammi;
 xalti can also be used as a term of address for some women (not real aunts)",aunt,Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca, Rabat, Fes, Taourirt",,2014,,,"humans, kinship+A737:Q737"
tataḥ,,"v, n",seqqer!,hit,Morocco,Amazigh (Berber),,Tarifiyt,Iqeraiyen,,2015,,gg=as tataḥ 'hit him/her' (IMP); or as a threat: tataḥ 'I'll hit you' (as a punishment); cf. diddi,"body, action"
tataḥ,,v,,sit down,Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,"tataḥ is often understood as 'hit' but can also have the meaning 'sit down' (in the second meaning, /titti/ is more frequent).",,"body, bodily function, action"
tataḥ,,v,,sit down,Morocco,Amazigh (Berber),Senhaja,Mezduy,Ayt Mezduy,,2015,,,"body, bodily function, action"
tataḥ,,v,,sit down,Morocco,Amazigh (Berber),Senhaja,Mezduy,,,2025,,,"body, bodily function, action"
tataḥ,,"v, n",,hit,Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,,,"body, action"
tataw,,n,"ṯawfilṯ, ṯagfilṯ",egg,Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,2015,,,food
tatay,,n,,tea,Algeria,Amazigh (Berber),,Kabyle,At Douala,,1998,,,"food, drink"
tatay,,n,,tea,Algeria,Amazigh (Berber),,Kabyle,At Douala,,1998,,,"food, drink"
ṭaṭəw,,n,tabəṭwət,egg,Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,food
ṭaṭəw,,n,tabəṭwət,egg,Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,food
tatik,թաթիկ,n,,hand,Armenia,Armenian,,Armenian,,,2024,,,
tato,,n,,elder brother,Spain,Romance,,Spanish,"Spain, Navarra",,2024,Grandfather in Ecuador,,
tato,,n,,grandfather,Ecuador,Romance,,Spanish,Ecuador,,2024,Means rather 'elder brother' in Spain (Navarra),,
tato,,n,abuelo,granfather,Spain,Romance,,Spanish,,,2024,,,
tatta,,n,"(ṯ)iffat SG, (ṯ)iffatin PL ‘breast(s)’ 
 ṯabbišt, ṯibbišin (Talġunt, Sahhel)","breast(s) (1), genitals (male) (2)",Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,"2015, 2025","The word means both ‘breast(s)’ and ‘genitals (male)'. In the Riff, this is a BT term for ‘eat, food', while the BT term for 'breast' is bibbiš.",,"body, body part"
tatta,,n,"(ṯ)iffat SG, (ṯ)iffatin PL ‘breast(s)’ 
 ṯabbišt, ṯibbišin (Talġunt, Sahhel)","genitals (male) (1), breast (2)",Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2015,"The word means both ‘breast(s)’ and ‘genitals (male)'. In the Riff, this is a BT term for ‘eat, food', while the BT term for 'breast' is bibbiš.",,"body, body part"
tatta,,n,"tə́wəg, əččú; aməklíw 'lunch'; amišíw 'dinner'","food, meal",Libya,Amazigh (Berber),,Awjila,Awjila,,2013,"In Tuareg, tatta means ‘food’ in adult speech (?). It resembles the IMPF of ešš ‘to eat’.",,food
tatta,,"n, v",,"breast(s), nurse, breast milk",Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,,,"body, body part, food"
tatta,,n,"ašwwal (no F), aqellay (no F),
 amallay (no F; Ayt Ahmed);
 aḥṭuṭ (Ayt Bounsar),",breast (also: genitals (male)),Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2015,,,"body, body part, taboo"
tatta,,n,"ašwwal (no F), aqellay (no F),
 amallay (no F; Ayt Ahmed);
 aḥṭuṭ (Ayt Bounsar),
 abẓẓuḓ (Ayt Bounsar);
 winu ‘that of me’ = ‘my ~’ (as curse).",genitals (male); breast,Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2015,,,"body, body part, taboo"
"ṭaṭṭa, tatta",,n,(ṯ)abbuš(t),"boob, breastfeed",Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,"ṭaṭṭa (n/boob/breastfeeding), ṭiṭṭa (to nurse) (rarely used) (adult speech: ṯabbušt, or abbuš), also tatta as it sounds 'cool'/easier to pronounce than ṭaṭṭa",,"food, nurse"
"ṭaṭṭa, tatta, tata",,n,(ṯ)abbuš(t),"boob, breastfeed",Algeria,Amazigh (Berber),,Tashawit,,,2024,"ṭaṭṭa (n/boob/breastfeeding), ṭiṭṭa (to nurse) (rarely used) (adult speech: ṯabbušt, or abbuš), also tatta as it sounds 'cool'/easier to pronounce than ṭaṭṭa",,"food, nurse"
"ṭaṭṭeḥ (ttaḥ, taḥḥ)",,"v:conj, n",wet,"hit, slap, strike, beat",Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,"See also ṭṭriḥa. Used both in Kabyle and dialectal Arabic, but not in At Zmenzer: see ṭṭaḥ or qqaš. As a verb: conjugated. As a noun: used with a light verb gg ‘to do’. Alternative forms: ttaḥ and taḥḥ: gg=as taḥḥ ‘do 3SGIO hitting’, ‘hit him/her’ (not with a DO *taḥḥ=iṯ). See also ṭṭriḥa. Onomatopoeia?",verb: Tura ad d-yas baba-k ad k-iṭaṭṭeḥ ‘Your father is coming to hit you (MSG)’. tebġid ad ak-ṭaṭṭḥ-eġ 'Do you want me to beat you?' Noun: ad aš ggeġ tataḥ ‘I will do to you (MSG) hitting = I will hit you’.,"body, action, warning"
"tattiš, tatiš",,n,,meat,Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,food
tatu,,n,,cake(s),Algeria,Amazigh (Berber),,Kabyle,At Douala,,1998,,,food
tatu,,n,,cake(s),Algeria,Amazigh (Berber),,Kabyle,At Douala,,1998,,,food
tbežġit,,n,,"babbling, unintelligible words",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,action
ṯbibit,,n,paḇu,turkey,Morocco,Amazigh (Berber),,Tarifiyt,"Midar (Ayt Tuzin), Ayt Said",,2014,,,"animals, birds"
teenie(-weenie),,adj,,little,"USA, UK",Germanic,,English,,Ferguson 1964,1964,,,
teeny-weeny,,adj,tiny,tiny,"USA, UK",Germanic,,English,UK,,2024,"reduplication/rhyming pair involving the sound /w/. Kitty-witty, Doggy-woggy, Teeny-weeny",,
teffu,,"interj, v",,spit,Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"action, interjection"
"teffu, tffu",,"interj, v",bzeq,spit,Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,,,"interjection, negative"
tešta,تشتا,n,,donkey,Libya,Amazigh (Berber),,Nafusa,Yafran,,2015,,,
tete,,n,chupete,pacifier,Spain,Romance,,Spanish,"Spain, Galicia",,2024,,,
tete,,n,chupete,pacifier,Spain,Romance,,Spanish,"Spain, Galicia",,2024,,,
tètte,,n,,dog,Italy,Romance,,Italian,Central Italy,,2015,"bau bau: onomatopoeia (represents the dog's barking), reduplication",,animals
texxu,,v,,"sleep (v), asleep",Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,"Berber only, verb+state (adj), different from ninne (trying to put to sleep), texxu is also suitable for older kids (3-4 years), ninne is for babies (until 2 years), root xxu but used with t- always. Can be also used when speaking about a sleeping child addressing an adult: Ḥmed i-texxu (adult speech: i-ṭṭeṣ).",,"action, seep"
tffu,,interj,,spit (interj),Algeria,Semitic,Arabic,Arabic (Algerian),Chaouia,,2024,,,warning
tffu,,interj,,spit (interj),Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,warning
tfu,,interj,,spit (interj),Algeria,Amazigh (Berber),,Tashawit,"Ayt Busliman (Chennawra), Ayt Sellem",,2024,,,
ṭfuna,,interj,,"said when playing hide and seek, when you go out from where you were hiding and you run to the base/starting point, when the other kid was counting ",Morocco,,,Arabic (Moroccan),Tangier,,,,,
tfust,,n,fus,"hand, arm",Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,BT=diminutive,,body parts
tighty-whities,,n,white underwear,white underwear,"USA, UK",Germanic,,English,USA,,2024,,,
tines,,n,calcetines,socks,Spain,Romance,,Spanish,,Ferguson 1964,1964,,,
tines,,n,calcetines,socks,Spain,Romance,,Spanish,,Ferguson 1964,1964,,,
Tinky Winky,,n,Tinky Winky (name of one of the teletubbies),name of one of the teletubbies,"USA, UK",Germanic,,English,UK,,2024,"reduplication/rhyming pair involving the sound /w/. Kitty-witty, Doggy-woggy, Teeny-weeny",,
tiquitito,,adj,,little,Spain,Romance,,Spanish,,Ferguson 1964,1964,,,
tiquitito,,adj,,little,Spain,Romance,,Spanish,,Ferguson 1964,1964,,,
tišš,,"n, v",,"going out (""bye-bye"")",Syria,Semitic,Arabic,Arabic (Syrian),unspecified,Ferguson 1964,1964,,,"body, action"
tišš,,n,,going out,Syria,Semitic,Arabic,Arabic (Syrian),Syria,Ferguson 1964,1964,,,
tita,,n,aunt,,Spain,Romance,,Spanish,"Spain, Navarra",,2024,,"Not used by everyone in Navarra (Carlos, but not Andrea). Not Ecuador",
tita,,n,abuelita,grandmother,Mexico,Romance,,Spanish,Mexico-city,,2024,Tito/tita for 'uncle/aunt' in Spain. Vs Mexico for abuelito/abuelita > tito/tita.,,
tita,,n,tia,aunt,Spain,Romance,,Spanish,"Spain, Galicia",,2024,Tito/tita for 'uncle/aunt' in Spain. Vs Mexico for abuelito/abuelita > tito/tita.,,
titi,تيتي,n,,chicken,Libya,Amazigh (Berber),,Nafusa,Yafran,,2015,,,
titi,,v,pedir teta/pecho,"ask to be nursed, ask for breastmilk",Paraguay,Tupi-Guarani,,Guarani,,,2024,,,
ṭiṭi,,n,,breast,Algeria,Amazigh (Berber),,Kabyle,Béjaïa (Bgayet),,1998,,a sefkeġ ṭiṭi i memmi/yelli,"body, body part"
ṭiṭi,,n,,breast,Algeria,Amazigh (Berber),,Kabyle,Béjaïa,,1998,,a sefkeġ ṭiṭi i memmi/yelli,"body, body part"
ṭiṭi,,n,azennun,genitals (male),Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,,,"body, taboo"
"titi, titti",,v,"gles, gɛed",sit down,Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca",,2014,"Used both by Arabs and Berbers, known widely in the country. Not used in Kabyle.",,"body, action"
titik anel,տիտիկ անել,v,,sit,Armenia,Armenian,,Armenian,,,2024,,,
titit,,n,"ṭunubil 'car', lmašina 'train', lmuṭuṛ 'motorbike', bišklit 'bike'; ṭubis 'bus', lkaṛ 'bus from city to city'","transport, vehicle: car, motorbike; beep-beep; bike; train; bus; tram",Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2015,ɛanɛan (based on the sound of starting engine),,"object, world, transport"
titit,,n,"tunuḇin 'car'; muṭu(r) 'motorbike'; 
 bašklit 'bicycle'; mašina 'train'; ṭuḇis 'bus'; lkar 'bus (from one city to another)'; tram ‘tram’","transport, vehicle: car, motorbike; beep-beep; bike; train; bus; tram",Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,"pipip; titit: all transport; ɛanɛan < (based on the sound of starting engine), usually 'motor, tracktor, truck'.",,"object, world, transport"
titit,,n,,"transport/vehicle: car, motorbike",Morocco,Amazigh (Berber),Senhaja,Mezduy,,,2025,cf. pipip (new/Arabic),,"object, world, transport"
titit,,n,,"car, motorbike; beep-beep",Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,Common for Kabyle and Algiers Arabic. Onomatopoeia.,,"object, world, transport"
titit,,n,,"car, motorbike; beep-beep",Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,Common for Kabyle and Algiers Arabic. Onomatopoeia.,,"object, world, transport"
titit,,n,,"transport/vehicle: car, motorbike",Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,Syn. ɛanɛan,,"object, world, transport"
tito,,n,uncle,,Spain,Romance,,Spanish,"Spain, Navarra",,2024,,"Not used by everyone in Navarra (Carlos, but not Andrea). Not Ecuador",
tito,,n,abuelito,grandfather,Mexico,Romance,,Spanish,Mexico-city,,2024,Tito/tita for 'uncle/aunt' in Spain. Vs Mexico for abuelito/abuelita > tito/tita.,,
tito,,n,tio,uncle,Spain,Romance,,Spanish,,,2024,Tito/tita for 'uncle/aunt' in Spain. Vs Mexico for abuelito/abuelita > tito/tita.,,
ṭitta,,n,bzazel/bzul (vulgar) (PL),"breast, mother's breast",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"body, body parts"
ṭiṭṭa,,v,,"breastfeed, nurse",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"body, bodily function, action, food, baby"
"ṭiṭṭaḥ, tiṭṭaḥ, dahdah, ddahddah",,"interj, n",,"hurt/hit, threat: ""I'll hit you"" (interj. used to threaten a child)",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,warning
titti,,n,lḥam,meat,Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,"2015, 2025","In the Riff, titti means 'eat'",ɛenna ḥuḥḥu ‘eat/drink milk!’ (BT),food
titti,,"v, n",,"eat, food",Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,"In other parts of Morocco, titti is a BT term for 'sit!', but in the Riff (Midar, Ayt Tuzin), it means 'eat, food'; titti is not used in Ayt Said and Iqeraiyen (where they use ɛenna). In Ketama, titti means 'meat'. The ""usual"" Moroccan mimmi, ɛamɛam, hamham ('eat') are not used in the Riff.",,"body, bodily function, action, food"
titti,,v,,sit down,Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,Also has another meaning: 'meat' (shared with the local Berber),,action
titti,,v,skus,sit down,Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,2015,also used in Ourzazate and many other parts of Morocco. Abdellah notes: ɛmmaš / titti (more recently),,"body, bodily function, action"
titti,,n,,soup,Morocco,Amazigh (Berber),,Tashelhit,Tarudant,,2015,"In other parts of Morocco, titti is often used as a BT term for 'sit!'",,food
titti,,v,,sit down,Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,Ketama Berber čaččaḥ,,"body, bodily function, action"
